ms,T_fast_g,T_slow_g,v_line_mps,leash_m,pwm_state,enc_count,dTdt_gps
32668,10.1191,11.5793,0,0.2152,0,2444,-12.09
32768,9.8391,11.1268,0,0.2152,0,2444,-2.98
32868,9.7364,10.7728,0.088051,0.2154,60,2446,-1.06
32968,9.7121,10.5061,0.088051,0.2188,60,2485,-0.25
33068,11.2766,10.7965,0.088051,0.2242,60,2546,15.91
33168,14.4668,11.9135,0.088051,0.2299,0,2611,32.52
33268,15.4823,12.8691,0,0.2304,0,2617,10.18
33368,13.9215,13.0347,0,0.2304,0,2617,-15.9
33468,11.2854,12.4326,0,0.2304,0,2617,-26.89
33568,10.3499,11.8534,0,0.2304,0,2617,-9.45
33668,10.0931,11.3973,0,0.2304,0,2617,-2.62
33768,9.9899,11.039,0,0.2304,0,2617,-1.05
33868,9.9143,10.7531,0.088051,0.231,60,2623,-0.76
33968,9.9589,10.5574,0,0.2353,60,2672,0.46
34068,11.5418,10.9024,0,0.2402,0,2728,16.15
34168,14.6955,12.0478,0,0.2403,0,2729,32.18
34268,14.6809,12.7052,0,0.2403,0,2729,-0.15
34368,12.0171,12.3667,0,0.2403,0,2729,-27.18
34468,11.114,11.9971,0,0.2403,0,2729,-9.22
34568,10.8942,11.7076,0,0.2403,0,2729,-2.22
34668,10.7453,11.4577,0,0.2403,0,2729,-1.52
34768,10.5112,11.2065,0,0.2403,0,2729,-2.39
34868,10.3262,10.9748,0,0.2403,0,2729,-1.87
34968,9.9332,10.6899,0.088051,0.2413,60,2740,-4.01
35068,9.504,10.3666,0,0.2463,60,2798,-4.38
35168,10.8998,10.5871,0,0.2507,60,2847,14.24
35268,16.1578,12.3084,0,0.2517,0,2858,52.58
35368,25.2955,16.1263,-0.176103,0.248,-93,2816,93.24
35468,28.2995,19.3573,-0.176103,0.2328,-105,2643,30.65
35568,20.0635,19.0191,-0.176103,0.2143,0,2433,-83.19
35668,9.2008,15.8856,0,0.2031,0,2307,-110.84
35768,5.2407,12.9769,-0.088051,0.1984,0,2253,-40.41
35868,5.8363,11.229,0,0.1982,0,2251,6.02
35968,6.3657,10.0463,0,0.1982,0,2251,5.35
36068,7.3554,9.4354,0,0.1982,0,2251,10.2
36168,7.8525,9.0708,0,0.1982,0,2251,5.02
36268,8.1473,8.8583,0,0.1982,0,2251,3.01
36368,8.3188,8.7342,0,0.1997,60,2268,1.75
36468,8.4948,8.6853,0.088051,0.2051,60,2329,1.8
36568,10.3344,9.2126,0,0.2096,60,2382,18.58
36668,15.4181,11.0817,0,0.2104,0,2390,51.35
36768,21.8413,14.173,-0.088051,0.2052,-79,2331,65.54
36868,24.0494,16.7801,-0.176103,0.1912,-88,2171,22.3
36968,17.0049,16.396,-0.088051,0.1765,0,2005,-71.88
37068,8.995,14.0452,0,0.1693,0,1923,-81.73
37168,5.364,11.6479,0,0.1678,0,1906,-36.68
37268,5.398,10.0876,0,0.1677,0,1905,0.35
37368,6.0917,9.1319,0,0.1677,0,1905,7.08
37468,7.0909,8.6841,0,0.1677,0,1905,10.09
37568,7.7152,8.4809,0,0.1677,0,1905,6.37
37668,7.7794,8.3096,0,0.1677,0,1905,0.66
37768,7.5258,8.0978,0.088051,0.1708,60,1940,-2.56
37868,8.8028,8.2031,0.088051,0.177,60,2011,2.27
37968,13.4176,9.7951,0,0.1831,60,2081,34.17
38068,15.7784,11.4385,0,0.1891,0,2148,33.51
38168,16.4791,12.7425,0,0.1904,0,2162,11.06
38268,14.9971,13.2135,0,0.1904,0,2162,-12.15
38368,12.1914,12.7826,0,0.1904,0,2162,-27.02
38468,11.018,12.2681,0,0.1904,0,2162,-12.9
38568,10.514,11.7981,0,0.1904,0,2162,-5.36
38668,10.0546,11.3335,0,0.1904,0,2162,-4.65
38768,9.5225,10.8475,0.088051,0.1905,60,2163,-5.42
38868,9.1837,10.4104,0.088051,0.1941,60,2204,-3.47
38968,10.5012,10.5154,0.088051,0.1993,60,2263,13.35
39068,14.1148,11.6411,0,0.2046,0,2324,36.43
39168,16.3143,12.9469,0,0.2052,0,2330,22.48
39268,14.5842,13.2481,0,0.2052,0,2330,-17.6
39368,11.5212,12.6249,0,0.2052,0,2330,-30.62
39468,10.2355,11.9472,0,0.2052,0,2330,-13.13
39568,10.059,11.4641,0,0.2052,0,2330,-1.81
39668,9.7257,11.0087,0,0.2052,0,2330,-3.37
39768,9.4048,10.5877,0.088051,0.2054,60,2333,-3.27
39868,9.2195,10.2341,0.088051,0.2094,60,2378,-1.89
39968,10.7006,10.4432,0.088051,0.2148,60,2439,15.11
40068,14.3319,11.6424,0,0.2193,0,2491,36.68
40168,16.4555,12.9784,0,0.2192,0,2489,21.67
40268,15.5814,13.5745,0,0.2192,0,2489,-8.92
40368,11.9356,12.9369,0,0.2192,0,2489,-36.83
40468,10.4373,12.2184,0,0.2192,0,2489,-15.29
40568,9.9619,11.6245,0,0.2192,0,2489,-4.85
40668,9.7711,11.1493,0,0.2192,0,2489,-1.93
40768,9.8681,10.835,0,0.2194,60,2492,0.99
40868,11.4714,11.0943,0,0.2194,0,2492,16.36
41038,30.9118,18.8121,-0.088051,0.2113,0,2399,110.61
41138,31.4914,22.0182,-0.264154,0.1942,-117,2206,6.02
41238,24.3096,22.1422,-0.176103,0.1712,-89,1943,-73.24
41338,17.7379,20.6304,-0.176103,0.1487,0,1688,-65.72
41438,8.755,17.1001,-0.088051,0.1336,0,1517,-91.65
41538,2.3927,13.0256,0,0.1261,0,1431,-64.93
41638,0.598,9.8065,0,0.1243,0,1412,-18.13
41738,0.2744,7.4033,0,0.1243,0,1412,-3.3
41838,1.2246,5.918,0,0.1243,0,1412,9.7
41938,11.6007,7.9872,0,0.1243,0,1412,104.81
42038,19.7111,11.4251,0,0.1227,-120,1394,82.76
42138,19.6542,13.4788,-0.088051,0.1156,0,1312,-0.58
42238,16.8288,14.1397,0,0.109,0,1238,-28.83
42338,11.8261,13.2486,0,0.1065,0,1210,-50.53
42438,11.3183,12.7343,0,0.1066,0,1211,-5.18
42539,12.1372,12.6362,0,0.1066,0,1211,8.36
42639,11.9947,12.4669,0,0.1066,0,1211,-1.44
42739,11.9457,12.3336,0,0.1066,0,1211,-0.5
42839,12.406,12.3804,0,0.1066,0,1211,4.7
42939,11.6035,12.136,0,0.1066,0,1211,-8.11
43039,10.6545,11.7063,0,0.1066,0,1211,-9.68
43139,10.6082,11.4289,0,0.1066,0,1211,-0.47
43239,10.7921,11.2812,0,0.1066,0,1211,1.86
43339,10.8935,11.1906,0,0.1066,0,1211,1.04
43439,11.0367,11.1611,0,0.1066,0,1211,1.46
43539,11.9603,11.4186,0,0.1066,0,1211,9.42
43639,13.0797,11.9038,0,0.1066,0,1211,11.31
43739,13.5026,12.33,0,0.1066,0,1211,4.32
43839,13.4845,12.6175,0,0.1066,0,1211,-0.19
43939,13.5241,12.8466,0,0.1066,0,1211,0.4
44039,13.349,12.9613,0,0.1066,0,1211,-1.79
44139,12.6216,12.8309,0,0.1066,0,1211,-7.42
44239,12.1065,12.6176,0,0.1066,0,1211,-5.2
44339,12.3126,12.5542,0,0.1066,0,1211,2.1
44439,12.7312,12.6246,0,0.1066,0,1211,4.27
44539,12.9939,12.7334,0,0.1066,0,1211,2.63
44639,13.3322,12.9042,0,0.1066,0,1211,3.45
44739,12.6458,12.7967,0,0.1066,0,1211,-7
44839,11.7648,12.4836,0,0.1066,0,1211,-8.99
44939,11.6209,12.259,0,0.1066,0,1211,-1.45
45039,12.3965,12.3418,0,0.1066,0,1211,7.91
45139,14.6797,13.069,0,0.1066,0,1211,23.3
45239,13.8678,13.218,0,0.1066,0,1211,-8.2
45339,11.5565,12.6581,0,0.1066,0,1211,-22.66
45440,10.914,12.1819,0,0.1066,0,1211,-6.69
45540,11.6879,12.1068,0,0.1066,0,1211,7.82
45640,11.7055,12.0934,0,0.1066,0,1211,1.01
45740,10.9495,11.7602,0,0.1066,0,1211,-8.67
45840,12.2647,11.9685,0,0.1066,0,1211,6.55
45940,13.9791,12.5783,0,0.1066,0,1211,16.72
46040,12.7792,12.5535,0,0.1066,0,1211,-8.27
46140,11.8253,12.3119,0,0.1066,0,1211,-9.83
46240,11.1951,11.9933,0,0.1066,0,1211,-6.57
46340,11.151,11.78,0,0.1066,0,1211,-0.64
46440,11.3877,11.6967,0,0.1066,0,1211,2.34
46540,11.6044,11.6872,0,0.1066,0,1211,2.21
46640,11.9779,11.7832,0,0.1066,0,1211,3.8
46740,12.1428,11.8834,0,0.1066,0,1211,1.67
46840,11.4643,11.7362,0,0.1066,0,1211,-6.9
46940,11.2871,11.6129,0,0.1066,0,1211,-1.82
47040,11.8942,11.7211,0,0.1066,0,1211,6.19
47140,11.8906,11.7633,0,0.1066,0,1211,-0.03
47240,11.3647,11.6308,0,0.1066,0,1211,-5.36
47340,11.2433,11.5263,0,0.1066,0,1211,-1.24
47440,11.1979,11.4414,0,0.1066,0,1211,-0.45
47540,11.3705,11.4344,0,0.1066,0,1211,1.76
47640,11.7099,11.5245,0,0.1066,0,1211,3.46
47740,12.4011,11.7869,0,0.1066,0,1211,6.98
47840,12.2215,11.8843,0,0.1066,0,1211,-1.83
47940,10.9804,11.5807,0,0.1066,0,1211,-12.66
48040,10.3054,11.2197,0,0.1066,0,1211,-6.75
48140,10.8838,11.1719,0,0.1066,0,1211,5.96
48240,11.0883,11.1638,0,0.1066,0,1211,2.09
48340,10.5543,10.978,0,0.1066,0,1211,-5.45
48440,10.3181,10.7983,0.088051,0.1078,60,1224,-2.39
48540,10.5589,10.7535,0.088051,0.1146,60,1302,2.46
48640,10.3786,10.6485,0,0.122,60,1386,-1.84
48740,8.3881,9.959,0.088051,0.1299,60,1475,-20.11
48840,7.1641,9.1838,0.088051,0.1396,60,1587,-12.49
48940,10.8556,9.8324,0.088051,0.1497,60,1700,37.67
49040,15.3864,11.5041,0,0.1581,0,1795,45.31
49140,16.1818,12.7232,0,0.1588,0,1804,8.12
49240,15.075,13.242,0,0.1588,0,1804,-11.29
49340,13.109,13.0859,0,0.1588,0,1804,-19.86
49440,12.146,12.7907,0,0.1588,0,1804,-9.83
