Timestamp,RawReading,Weight_g
2025-09-18 12:01:07.469,194924,31.81
2025-09-18 12:01:08.247,184928,31.81
2025-09-18 12:01:09.030,213737,37.18
2025-09-18 12:01:09.810,210122,36.14
2025-09-18 12:01:10.591,197128,30.89
2025-09-18 12:01:11.371,191542,35.52
2025-09-18 12:01:12.152,131547,22.32
2025-09-18 12:01:12.930,240382,50.22
2025-09-18 12:01:13.709,199959,34.05
2025-09-18 12:01:14.490,187072,28.32
2025-09-18 12:01:15.270,131478,19.75
2025-09-18 12:01:16.048,137820,31.04
2025-09-18 12:01:16.830,201941,35.11
2025-09-18 12:01:17.610,206782,37.27
2025-09-18 12:01:18.392,173881,27.29
2025-09-18 12:01:19.171,217593,44.96
2025-09-18 12:01:19.950,165696,30.08
2025-09-18 12:01:20.729,113992,19.99
2025-09-18 12:01:21.511,126201,20.38
2025-09-18 12:01:22.288,126001,23.62
2025-09-18 12:01:23.071,120281,17.82
2025-09-18 12:01:23.851,127891,25.39
2025-09-18 12:01:24.630,269736,32.39
2025-09-18 12:01:25.410,186785,32.20
2025-09-18 12:01:26.189,143221,38.39
2025-09-18 12:01:26.970,180255,28.98
2025-09-18 12:01:27.749,132664,31.54
2025-09-18 12:01:28.531,146878,21.88
2025-09-18 12:01:29.310,123647,20.37
2025-09-18 12:01:30.088,122776,18.76
2025-09-18 12:01:30.871,121502,18.74
2025-09-18 12:01:31.648,124246,19.65
2025-09-18 12:01:32.429,123581,21.58
2025-09-18 12:01:33.209,130185,19.82
2025-09-18 12:01:33.991,125589,23.39
2025-09-18 12:01:34.767,158238,23.41
2025-09-18 12:01:35.550,198815,48.89
2025-09-18 12:01:36.330,175749,18.21
2025-09-18 12:01:37.107,123253,18.70
2025-09-18 12:01:37.891,129012,20.46
2025-09-18 12:01:38.668,132414,20.98
2025-09-18 12:01:39.450,137435,21.25
2025-09-18 12:01:40.229,135663,22.83
2025-09-18 12:01:41.010,127098,25.17
2025-09-18 12:01:41.789,283062,52.46
2025-09-18 12:01:42.568,238113,40.08
2025-09-18 12:01:43.348,200192,39.65
2025-09-18 12:01:44.129,232468,47.42
2025-09-18 12:01:44.910,226440,43.34
2025-09-18 12:01:45.690,218673,38.47
2025-09-18 12:01:46.469,124360,18.86
2025-09-18 12:01:47.250,124792,20.26
2025-09-18 12:01:48.030,128304,19.71
2025-09-18 12:01:48.810,125586,20.79
2025-09-18 12:01:49.589,127160,20.66
2025-09-18 12:01:50.370,211752,36.50
2025-09-18 12:01:51.147,140345,23.82
2025-09-18 12:01:51.929,145863,21.92
2025-09-18 12:01:52.710,121668,18.84
2025-09-18 12:01:53.490,132458,18.39
2025-09-18 12:01:54.271,127834,31.76
2025-09-18 12:01:55.048,192569,32.90
2025-09-18 12:01:55.828,166137,33.78
2025-09-18 12:01:56.609,208714,25.88
2025-09-18 12:01:57.387,169046,30.07
2025-09-18 12:01:58.168,218573,43.77
2025-09-18 12:01:58.948,122761,22.04
2025-09-18 12:01:59.730,116014,22.15
2025-09-18 12:02:00.509,114347,31.91
2025-09-18 12:02:01.289,124144,19.53
2025-09-18 12:02:02.067,132692,20.21
2025-09-18 12:02:02.849,136523,22.39
2025-09-18 12:02:03.627,123899,21.95
2025-09-18 12:02:04.408,120069,20.62
2025-09-18 12:02:05.190,200456,32.21
2025-09-18 12:02:05.969,142889,19.15
2025-09-18 12:02:06.748,120544,20.34
2025-09-18 12:02:07.530,145498,30.22
2025-09-18 12:02:08.309,165049,23.81
2025-09-18 12:02:09.090,123471,26.25
2025-09-18 12:02:09.870,225461,43.59
2025-09-18 12:02:10.649,125983,21.14
2025-09-18 12:02:11.429,214789,51.46
2025-09-18 12:02:12.208,116309,28.43
2025-09-18 12:02:12.987,123103,18.30
2025-09-18 12:02:13.769,121077,19.32
2025-09-18 12:02:14.549,156871,28.44
2025-09-18 12:02:15.329,192016,45.40
2025-09-18 12:02:16.110,250969,44.73
2025-09-18 12:02:16.888,237145,43.88
2025-09-18 12:02:17.669,175546,30.41
